recommendation_id,personal_color,undertone,skin_tone,category,product_id,recommendation_score,priority,reason
RID00001,Spring,Warm,Fair,Foundation,PID0072,99,1,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00002,Spring,Warm,Fair,Foundation,PID0073,99,2,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00003,Spring,Warm,Fair,Foundation,PID0167,99,3,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00004,Spring,Warm,Fair,Foundation,PID0207,99,4,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00005,Spring,Warm,Fair,Foundation,PID0208,99,5,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00006,Spring,Warm,Fair,Cushion,PID0095,99,1,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00007,Spring,Warm,Fair,Cushion,PID0099,99,2,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00008,Spring,Warm,Fair,Cushion,PID0251,99,3,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00009,Spring,Warm,Fair,Cushion,PID0010,98,4,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00010,Spring,Warm,Fair,Cushion,PID0012,98,5,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00011,Spring,Warm,Fair,Concealer,PID0233,99,1,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00012,Spring,Warm,Fair,Concealer,PID0259,99,2,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00013,Spring,Warm,Fair,Concealer,PID0269,99,3,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00014,Spring,Warm,Fair,Concealer,PID0257,98,4,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00015,Spring,Warm,Fair,Concealer,PID0267,98,5,warm undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00016,Spring,Warm,Fair,Blush,PID0276,93,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
