personal_color,undertone,skin_tone,recommended_foundation_family,recommended_blush_color,recommended_lip_color,recommended_eyeshadow_palette,recommended_jewelry_color,recommended_clothing_palette,avoided_colors,notes
Spring,Warm,Fair,Warm ivory,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Warm,Light,Golden ivory,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Warm,Medium,Warm beige,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Warm,Tan,Golden tan,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Warm,Deep,Rich honey,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Cool,Fair,Soft ivory,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Cool,Light,Neutral beige,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Cool,Medium,Soft beige,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Cool,Tan,Muted tan,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
Spring,Cool,Deep,Soft cocoa,"Peach, coral, apricot","Peach coral, warm pink, bright nude","Champagne, warm beige, gold, peach",Gold,"Cream, peach, coral, warm turquoise, light olive","Icy pastels, dusty mauve, charcoal, blue-gray","Bright, warm, and clear colors keep the face lively."
